Visit_Hour,Day_Type,Triage_Level,Doctor_Load,Staff_To_Patient_Ratio,Resource_Utilization_Rate,Bed_Occupancy_%,Num_Transfers,Num_Process_Steps,Loop_Count,Rework_Count,Repeated_Tests,Data_Error_Count,System_Downtime_Impact,Discharge_Bottleneck_Index,Wait_Time_Min,TAT_Min,Bed_Delay_Min,Admission_Delay_Min,Total_Delay_Min,Delay_Risk
16,1,2,55,0.29,77,70,3,7,0,1,0,0,0,14,95,67,53,34,249,1
19,1,2,33,0.38,85,50,2,7,0,1,0,0,0,8,60,50,42,19,171,0
21,1,2,19,0.36,65,90,1,5,1,1,1,0,0,38,43,64,81,17,205,0
21,0,1,56,0.45,64,74,6,9,2,0,0,0,0,34,91,40,69,31,231,1
7,0,3,48,0.37,78,80,2,5,0,1,1,1,0,57,73,64,85,42,264,1
16,0,2,48,0.5,67,93,2,6,0,0,1,1,0,44,63,65,76,26,230,0
6,0,3,19,0.21,98,87,1,5,0,1,1,0,1,17,72,128,98,19,317,1
0,0,2,45,0.42,95,94,0,5,0,1,0,2,1,42,62,103,75,40,280,1
12,1,1,34,0.36,95,54,2,7,1,0,1,1,0,52,59,90,67,33,249,1
22,0,2,59,0.36,68,80,2,6,0,0,1,0,0,2,76,65,66,14,221,0
18,0,2,19,0.2,78,50,2,7,1,0,0,0,0,27,79,49,45,20,193,0
23,0,3,28,0.4,55,79,2,6,1,2,0,2,0,15,60,41,55,37,193,0
18,0,2,55,0.46,94,67,1,5,0,2,0,1,0,41,64,74,70,29,237,1
16,1,2,54,0.15,99,57,7,10,1,2,0,0,0,40,141,72,33,45,291,1
12,0,3,24,0.33,96,75,4,8,1,1,0,0,0,46,72,66,67,28,233,1
15,1,2,25,0.23,76,89,3,8,0,0,0,1,0,42,66,55,78,34,233,1
7,1,3,11,0.5,56,64,4,8,0,1,0,0,0,57,43,58,77,13,191,0
18,1,3,38,0.27,76,68,2,5,0,0,0,0,1,22,74,84,45,22,225,0
17,0,1,13,0.15,68,59,2,7,1,2,0,0,0,31,90,50,59,27,226,0
0,1,2,59,0.22,66,73,0,4,0,0,0,0,0,9,91,52,48,36,227,0
13,0,2,38,0.34,90,65,5,8,2,0,1,0,0,57,88,75,89,30,282,1
18,0,2,40,0.08,60,92,1,6,1,0,0,0,0,55,158,39,91,42,330,1
14,0,2,26,0.32,54,80,3,6,0,3,1,0,0,37,69,59,92,19,239,1
17,0,3,19,0.47,51,93,3,6,1,4,0,0,0,56,52,24,80,11,167,0
1,0,3,36,0.43,96,65,1,6,0,1,0,0,0,37,52,64,48,21,185,0
21,1,2,50,0.08,61,65,0,3,1,2,1,1,0,12,162,47,38,50,297,1
16,1,1,24,0.5,91,77,1,4,0,2,0,1,0,14,45,78,39,20,182,0
17,0,2,53,0.36,91,69,0,3,0,0,0,1,0,27,70,44,49,28,191,0
5,1,1,40,0.12,60,84,2,7,1,3,0,0,1,12,127,77,63,35,302,1
18,0,3,30,0.06,59,58,0,3,1,2,0,0,0,34,194,21,45,54,314,1
3,1,2,50,0.13,77,89,0,4,1,3,1,0,1,1,115,131,54,33,333,1
0,1,2,55,0.43,56,59,3,6,2,2,0,1,0,0,68,54,34,35,191,0
7,1,1,54,0.06,63,94,2,6,0,1,1,0,0,40,214,82,64,65,425,1
22,1,3,35,0.15,62,67,2,5,0,0,0,0,0,31,97,40,79,31,247,1
6,1,1,47,0.39,54,94,2,6,1,0,0,0,1,29,65,90,68,24,247,1
2,0,3,45,0.31,91,94,3,8,1,2,1,0,0,21,82,78,76,28,264,1
9,0,2,26,0.4,57,64,1,4,2,3,0,2,1,3,52,84,43,26,205,0
9,1,3,12,0.39,99,94,2,6,2,1,0,0,0,52,38,72,65,11,186,0
18,0,2,23,0.07,50,79,0,5,0,2,0,0,0,45,164,36,59,49,308,1
13,1,1,58,0.45,54,97,0,3,1,0,0,1,0,23,72,28,71,24,195,0
1,0,3,22,0.15,60,81,5,8,0,2,1,0,0,13,119,68,49,43,279,1
0,1,1,50,0.3,92,89,2,5,0,1,0,0,0,16,87,66,73,20,246,1
22,1,2,36,0.34,97,76,1,6,0,3,0,1,0,13,68,64,32,27,191,0
22,1,1,10,0.13,59,76,1,6,0,1,1,0,0,39,90,72,75,26,263,1
17,0,3,26,0.49,64,68,0,4,0,0,0,1,0,38,36,33,55,25,149,0
6,0,3,57,0.27,88,59,2,5,0,0,1,0,0,40,91,71,36,25,223,0
7,1,2,59,0.08,96,93,1,5,0,0,0,0,1,51,182,98,75,50,405,1
0,1,2,43,0.47,78,95,1,5,0,1,1,0,0,26,59,63,74,25,221,0
22,0,3,23,0.31,74,55,4,8,1,0,0,0,0,20,71,46,38,22,177,0
2,0,1,26,0.36,97,73,2,6,0,1,1,0,0,39,62,91,67,11,231,1
23,0,3,12,0.29,55,58,1,5,1,1,0,0,0,34,49,30,68,15,162,0
22,0,1,43,0.43,60,76,1,4,0,1,0,0,0,25,61,48,80,21,210,0
7,0,3,49,0.06,66,56,1,6,1,0,0,0,0,30,207,59,41,63,370,1
21,1,3,34,0.17,64,55,3,7,0,1,0,0,0,58,111,61,73,36,281,1
14,0,3,11,0.26,65,82,3,8,0,3,0,0,0,32,64,28,63,21,176,0
4,1,2,43,0.08,51,70,0,4,1,2,0,0,1,48,153,83,51,42,329,1
2,1,2,35,0.37,85,95,2,5,2,0,2,0,0,10,61,103,47,10,221,0
18,0,2,40,0.23,68,87,2,6,0,0,0,0,1,58,85,82,81,31,279,1
0,0,1,18,0.17,87,93,1,5,0,0,1,1,0,57,81,78,94,33,286,1
14,1,2,39,0.05,99,66,1,5,2,2,0,0,1,15,235,108,40,72,455,1
7,0,2,29,0.37,70,80,0,3,0,0,0,0,0,5,42,58,49,11,160,0
1,1,3,30,0.43,60,86,0,4,0,0,0,1,1,33,37,90,70,19,216,0
2,0,2,38,0.23,90,60,2,5,2,1,0,2,0,40,74,74,30,46,224,0
23,0,1,34,0.3,52,77,3,8,1,0,0,0,0,31,78,29,67,22,196,0
13,0,2,47,0.15,83,54,1,6,0,0,1,0,0,20,110,77,50,36,273,1
23,1,2,53,0.33,67,61,2,7,2,3,2,0,0,28,79,99,59,16,253,1
13,0,2,34,0.06,64,52,2,5,1,0,0,0,0,10,213,44,40,56,353,1
10,1,2,18,0.27,74,90,2,6,0,1,0,0,0,56,61,64,82,14,221,0
15,0,3,48,0.34,99,87,1,6,1,1,0,0,0,55,64,66,81,7,218,0
3,1,2,53,0.46,64,51,3,8,1,0,0,2,0,55,78,58,68,44,248,1
19,0,2,35,0.22,79,75,0,4,1,1,0,0,0,4,75,49,48,16,188,0
4,1,2,46,0.39,66,51,3,8,2,0,2,0,0,26,74,68,51,20,213,0
21,1,3,25,0.32,67,61,2,7,0,0,1,1,0,27,60,71,50,25,206,0
20,1,2,46,0.47,80,89,1,5,1,1,2,0,0,30,66,95,80,16,257,1
13,1,3,21,0.23,99,51,1,4,0,2,0,0,1,49,66,86,52,12,216,0
22,1,1,33,0.19,92,90,2,5,0,3,0,0,1,10,92,100,72,29,293,1
15,1,3,35,0.45,67,65,1,6,1,1,0,0,0,58,58,55,54,20,187,0
17,0,2,29,0.07,84,79,2,7,1,0,0,0,0,12,168,55,56,53,332,1
6,1,2,18,0.11,62,96,3,6,1,0,1,0,0,42,123,76,90,35,324,1
9,1,2,32,0.09,63,95,1,6,1,0,1,0,0,5,144,58,64,42,308,1
6,1,2,48,0.43,85,85,2,5,1,1,0,1,0,26,72,55,68,25,220,0
0,0,1,38,0.05,67,53,3,8,0,1,0,0,0,29,247,31,52,72,402,1
22,0,3,40,0.44,54,60,3,8,1,1,0,1,0,52,65,54,63,27,209,0
20,0,2,28,0.25,63,73,4,7,0,0,1,0,0,47,90,83,64,28,265,1
18,1,3,29,0.05,74,67,1,5,0,0,0,0,1,18,231,107,54,65,457,1
15,0,3,32,0.23,93,76,2,7,1,0,0,0,0,13,82,70,58,24,234,1
18,0,2,52,0.13,88,86,3,8,1,0,0,2,0,57,140,48,72,60,320,1
3,1,3,36,0.33,61,51,1,5,1,2,1,0,0,8,68,63,41,23,195,0
17,1,2,39,0.36,89,64,0,5,2,3,1,1,0,54,63,65,64,36,228,0
1,0,1,30,0.27,77,60,0,4,0,4,0,0,0,44,48,60,49,18,175,0
0,1,3,53,0.07,84,76,0,4,0,3,0,2,0,27,171,51,70,70,362,1
14,1,2,44,0.35,50,98,0,3,1,2,0,0,0,27,63,31,76,17,187,0
4,1,2,58,0.43,52,97,4,8,1,1,0,0,0,45,90,26,91,28,235,1
19,1,2,16,0.37,92,96,1,4,0,0,0,1,0,24,46,77,64,14,201,0
10,0,2,31,0.42,99,72,2,5,0,0,1,0,0,25,60,88,70,15,233,1
9,1,3,19,0.14,56,84,0,3,0,0,0,1,0,58,88,56,79,38,261,1
1,0,1,32,0.45,58,79,3,8,1,1,0,0,0,3,63,44,56,13,176,0
2,0,2,24,0.19,85,96,0,5,1,2,0,1,0,2,68,76,51,30,225,0
22,0,2,39,0.06,72,73,1,5,0,0,0,0,0,33,195,59,66,61,381,1
22,0,2,43,0.43,73,68,0,3,0,2,0,0,0,20,56,58,57,20,191,0
11,1,2,22,0.47,59,78,0,5,0,3,0,0,0,16,35,33,52,4,124,0
19,1,1,13,0.35,99,62,1,6,0,1,0,1,0,37,41,54,46,16,157,0
4,1,1,27,0.15,97,97,3,7,0,1,0,0,0,33,94,54,81,25,254,1
4,0,2,32,0.16,61,72,0,5,0,0,2,0,0,43,87,82,75,30,274,1
5,0,3,42,0.26,68,61,1,6,0,1,1,0,0,11,78,61,30,20,189,0
8,0,1,43,0.45,81,98,2,7,0,0,0,1,0,24,59,62,71,27,219,0
1,1,3,43,0.12,73,97,6,11,1,1,0,0,0,20,149,58,74,44,325,1
20,0,3,45,0.42,71,90,2,7,0,0,0,0,0,17,63,48,52,19,182,0
11,1,3,44,0.18,52,78,2,7,1,1,0,0,0,35,103,21,79,31,234,1
2,1,3,26,0.41,89,55,2,6,2,1,0,0,0,5,51,77,45,20,193,0
19,1,2,37,0.46,76,72,2,5,0,0,0,0,0,19,66,41,59,19,185,0
21,1,2,23,0.24,68,80,2,7,0,2,0,0,0,52,66,58,78,16,218,0
11,0,2,43,0.21,58,94,4,7,0,1,1,1,1,19,96,117,60,40,313,1
23,1,2,57,0.41,98,70,2,6,0,0,0,0,0,31,79,68,54,12,213,0
16,0,3,20,0.29,62,73,1,5,0,0,2,1,0,30,57,72,44,25,198,0
9,1,2,22,0.36,51,57,1,4,1,1,0,0,0,19,55,31,37,9,132,0
23,0,3,42,0.33,85,93,3,6,1,0,2,0,1,50,81,168,85,22,356,1
13,0,1,11,0.12,78,58,1,5,0,1,0,0,0,56,92,60,65,32,249,1
22,1,3,43,0.43,60,71,3,8,1,0,0,1,0,29,73,43,52,22,190,0
16,1,2,38,0.14,83,53,3,6,0,0,1,0,0,2,110,75,34,28,247,1
17,1,2,46,0.47,53,62,1,4,0,1,0,0,0,19,67,37,53,20,177,0
18,0,2,13,0.16,53,83,0,5,1,1,0,1,0,7,79,36,44,36,195,0
16,1,3,21,0.38,50,52,2,5,0,0,0,0,0,20,53,31,56,20,160,0
13,1,2,35,0.18,74,86,3,8,1,2,0,0,0,47,96,60,74,27,257,1
8,0,3,37,0.19,75,77,0,4,2,1,2,0,0,22,90,104,59,22,275,1
7,1,3,12,0.19,60,75,2,5,1,2,0,0,0,53,78,31,69,23,201,0
1,0,3,29,0.39,72,99,2,7,0,2,2,0,0,0,48,107,61,13,229,0
12,1,1,19,0.3,51,95,4,9,1,0,0,0,0,1,70,51,38,24,183,0
6,0,3,27,0.45,68,83,0,4,0,1,0,0,0,9,42,49,51,15,157,0
8,0,3,36,0.19,78,64,2,5,2,2,0,1,0,36,83,78,48,35,244,1
21,1,1,40,0.36,89,57,2,7,2,1,0,0,0,57,77,53,65,18,213,0
21,0,1,36,0.39,53,97,2,5,0,1,0,0,0,29,59,37,71,14,181,0
10,1,1,51,0.12,65,84,2,7,1,1,1,0,0,50,138,80,66,41,325,1
13,1,1,10,0.23,96,73,1,4,0,0,0,0,0,43,53,66,58,21,198,0
3,0,2,15,0.27,86,86,0,3,0,0,1,0,0,23,42,71,58,9,180,0
12,1,3,20,0.21,76,53,1,6,0,1,1,0,0,31,68,74,50,22,214,0
1,0,2,43,0.19,54,61,2,7,0,3,0,0,1,55,88,86,69,29,272,1
22,0,2,48,0.36,64,68,0,3,1,0,1,0,0,49,76,66,54,31,227,0
4,0,3,29,0.15,72,64,1,4,0,1,1,0,0,29,97,83,63,33,276,1
10,0,2,30,0.37,98,79,3,7,1,1,0,0,0,37,62,74,70,16,222,0
5,0,3,30,0.47,52,94,2,7,2,1,0,1,0,54,54,17,79,14,164,0
17,0,2,27,0.3,67,86,1,4,1,0,0,0,1,13,54,83,53,11,201,0
20,0,2,30,0.33,92,61,2,5,0,1,1,0,0,54,65,88,67,16,236,1
9,0,2,28,0.08,75,68,0,5,1,1,0,1,1,2,140,88,49,48,325,1
3,1,2,13,0.44,55,83,5,8,1,1,0,0,0,24,50,29,78,11,168,0
8,1,1,22,0.18,93,56,2,5,1,3,0,1,1,44,84,110,57,27,278,1
5,0,3,27,0.33,66,77,1,5,0,2,0,0,0,6,64,63,62,20,209,0
1,1,2,38,0.49,95,77,2,6,1,1,0,1,0,16,56,70,65,26,217,0
16,1,3,34,0.32,87,78,1,6,1,0,0,0,0,40,59,67,76,8,210,0
4,1,2,22,0.38,91,86,3,8,1,2,0,0,0,26,56,64,66,28,214,0
5,1,1,36,0.25,97,69,5,10,2,3,0,0,0,37,90,73,62,33,258,1
11,1,2,28,0.08,99,60,5,9,0,0,0,0,1,37,170,100,63,54,387,1
22,1,1,58,0.41,76,99,5,9,0,1,0,0,0,22,97,60,67,28,252,1
20,0,3,10,0.07,69,99,1,5,0,4,1,0,0,31,154,70,92,44,360,1
9,1,3,47,0.37,55,88,5,8,0,2,0,0,0,1,80,42,61,25,208,0
21,1,3,28,0.06,84,91,2,6,0,0,0,0,0,10,196,67,45,61,369,1
20,1,1,10,0.44,61,72,3,7,0,3,0,0,1,33,47,70,53,8,178,0
5,1,2,49,0.12,97,95,2,7,1,0,1,0,0,51,128,85,90,40,343,1
7,0,2,26,0.28,52,69,2,6,1,1,0,0,0,59,68,41,85,20,214,0
1,0,3,30,0.32,97,69,1,5,0,1,0,0,0,46,64,72,79,23,238,1
11,0,1,31,0.26,53,60,1,4,0,2,1,0,0,33,69,44,53,27,193,0
12,0,2,24,0.2,94,51,2,6,0,2,0,0,0,6,74,59,35,15,183,0
20,1,2,59,0.26,53,62,0,5,1,1,0,0,0,9,92,36,44,30,202,0
6,0,1,48,0.19,53,62,6,9,1,1,0,0,1,24,126,84,62,38,310,1
9,0,2,57,0.25,88,90,4,8,0,2,0,0,0,1,106,68,45,36,255,1
12,0,2,48,0.21,70,98,0,4,1,1,0,0,0,48,83,63,91,25,262,1
16,0,3,41,0.3,93,64,1,5,0,0,0,1,1,29,76,113,71,31,291,1
20,1,3,58,0.16,51,80,0,3,2,2,1,1,0,16,110,76,64,42,292,1
13,0,2,13,0.49,65,72,0,3,1,2,0,0,0,28,35,43,53,3,134,0
1,1,2,53,0.28,56,71,3,7,2,2,0,0,0,17,91,51,54,25,221,0
21,0,2,54,0.14,68,65,4,9,0,3,0,1,1,45,132,73,72,52,329,1
10,1,3,41,0.26,92,91,3,7,0,1,0,1,0,59,77,69,77,36,259,1
0,1,3,13,0.44,82,78,0,3,0,1,0,0,0,34,40,58,57,11,166,0
18,0,3,10,0.06,58,69,1,4,1,2,1,0,0,16,186,58,21,63,328,1
20,0,3,42,0.36,86,77,1,4,0,0,2,0,1,55,63,139,88,18,308,1
3,0,2,16,0.3,66,76,2,7,1,1,0,0,0,46,56,45,76,21,198,0
18,0,3,18,0.13,76,93,4,8,1,0,0,0,0,21,114,56,73,27,270,1
20,1,2,10,0.42,82,78,0,4,1,3,0,0,0,50,34,55,67,12,168,0
10,1,2,25,0.22,98,54,1,4,1,0,1,0,0,24,71,97,30,21,219,0
7,0,3,27,0.18,61,98,1,5,1,1,1,0,0,19,79,49,60,22,210,0
10,0,1,56,0.42,94,91,1,6,0,0,1,0,0,15,72,89,52,24,237,1
3,1,1,15,0.34,60,87,0,5,1,3,0,1,1,24,41,85,78,23,227,0
16,0,2,11,0.45,62,87,4,8,2,0,1,1,0,14,49,61,38,26,174,0
6,1,2,18,0.33,80,93,3,7,1,1,0,0,0,36,69,61,74,23,227,0
7,0,3,13,0.38,62,51,2,6,1,2,0,0,0,14,46,27,37,10,120,0
2,1,1,54,0.43,87,94,2,6,2,3,0,0,0,56,75,60,96,31,262,1
21,1,1,32,0.07,75,69,3,7,1,1,1,0,0,14,181,68,36,61,346,1
1,1,1,52,0.4,80,92,2,6,2,1,1,0,0,55,70,83,65,20,238,1
22,1,1,54,0.33,71,96,2,5,0,3,1,1,0,17,87,75,96,38,296,1
14,1,1,52,0.08,55,62,5,8,1,0,1,0,0,36,182,63,59,50,354,1
23,0,2,17,0.28,69,75,2,5,0,0,0,0,0,0,61,55,33,11,160,0
21,1,2,48,0.09,70,84,2,7,0,2,1,1,0,32,152,50,72,58,332,1
21,0,3,34,0.38,59,95,3,8,0,1,0,0,0,2,70,45,42,28,185,0
4,1,3,25,0.3,68,57,1,6,0,1,0,0,0,48,63,60,59,17,199,0
23,1,2,44,0.48,84,77,1,6,0,0,0,0,0,21,64,60,74,20,218,0
0,0,1,26,0.13,75,90,3,6,0,2,1,2,1,53,108,111,68,48,335,1
3,0,1,27,0.32,56,64,0,4,0,2,1,0,0,20,47,59,52,6,164,0
14,0,3,36,0.15,86,99,1,5,1,1,0,1,0,45,99,58,78,37,272,1
19,0,2,24,0.33,57,57,4,8,0,2,0,0,0,40,63,41,43,18,165,0
18,1,3,26,0.38,54,60,3,8,0,2,0,0,0,26,58,34,38,22,152,0
2,0,3,52,0.38,93,78,2,5,0,2,0,1,0,3,75,84,46,26,231,1
19,1,3,14,0.42,85,54,4,8,0,0,0,0,0,50,57,58,64,11,190,0
10,0,3,25,0.43,77,96,2,7,1,0,0,0,0,34,64,62,72,14,212,0
16,0,2,24,0.08,99,96,1,6,1,2,0,0,0,0,150,67,46,51,314,1
12,1,2,51,0.2,52,56,2,7,1,0,0,0,0,3,97,35,34,37,203,0
10,1,3,55,0.36,88,67,2,6,0,0,0,0,0,54,87,69,45,35,236,1
1,0,2,43,0.27,57,77,1,4,0,3,0,0,0,23,81,42,41,30,194,0
8,1,1,57,0.14,64,61,6,10,0,2,0,1,0,45,151,45,69,56,321,1
1,1,2,28,0.3,76,61,2,5,1,0,1,0,0,28,70,70,40,20,200,0
20,1,2,17,0.23,98,85,4,7,1,2,0,0,0,21,86,70,72,29,257,1
8,1,3,56,0.23,85,78,3,7,1,0,1,1,1,22,90,120,81,36,327,1
8,1,2,19,0.41,65,60,4,8,0,0,0,0,0,20,59,38,47,25,169,0
7,1,2,14,0.23,75,55,1,6,0,0,0,0,0,13,53,57,41,18,169,0
16,1,3,57,0.06,94,70,4,9,0,0,2,0,0,7,234,112,52,68,466,1
0,1,3,35,0.08,93,59,1,5,1,1,0,0,0,57,159,75,64,44,342,1
10,0,2,31,0.44,53,81,1,5,0,1,0,0,0,15,54,41,67,16,178,0
7,1,2,53,0.48,61,96,0,3,0,2,1,1,0,34,60,61,79,27,227,0
9,0,2,32,0.36,66,82,1,4,2,3,0,0,1,23,59,75,62,21,217,0
6,1,2,22,0.21,90,66,3,8,1,3,0,0,0,58,82,57,66,25,230,0
2,1,1,18,0.47,93,52,0,3,0,2,0,1,0,25,33,69,63,20,185,0
2,1,2,58,0.35,75,92,3,7,0,0,0,0,0,6,84,45,43,37,209,0
17,1,3,29,0.43,80,67,0,3,1,2,0,0,0,24,53,34,71,20,178,0
4,0,2,37,0.39,64,59,2,5,1,0,0,0,0,37,69,53,58,23,203,0
11,0,2,53,0.22,83,90,3,6,1,0,0,0,0,44,84,58,70,22,234,1
11,1,1,46,0.27,78,88,5,9,0,3,1,1,0,25,93,72,56,28,249,1
18,0,2,33,0.13,58,92,2,7,1,2,1,0,0,25,111,55,65,48,279,1
5,1,3,53,0.18,63,57,1,4,1,1,0,1,0,29,106,46,58,40,250,1
1,1,2,42,0.4,85,83,5,9,1,0,0,2,0,1,73,59,58,35,225,0
11,0,1,29,0.45,53,86,1,4,0,0,1,0,0,59,44,52,80,12,188,0
18,0,2,57,0.38,87,90,5,8,0,2,0,1,0,42,95,71,65,41,272,1
4,1,3,39,0.26,86,82,3,7,0,0,0,0,1,52,85,87,59,27,258,1
11,1,2,53,0.09,73,98,0,3,2,1,0,2,1,8,150,72,61,58,341,1
16,0,1,18,0.08,66,59,0,4,0,3,1,0,0,38,140,76,55,25,296,1
16,1,2,54,0.22,62,89,2,7,0,2,0,0,0,43,95,45,89,35,264,1
9,0,3,58,0.26,69,67,3,6,0,0,2,0,1,10,92,120,26,35,273,1
22,1,2,26,0.32,66,74,2,6,1,2,1,0,0,14,63,58,61,25,207,0
16,1,2,45,0.05,76,91,0,3,1,2,0,0,0,11,239,53,67,71,430,1
14,0,2,23,0.5,82,90,1,4,1,0,1,0,0,34,48,80,64,9,201,0
11,0,2,28,0.21,70,85,3,6,1,1,0,0,0,49,78,58,59,27,222,0
15,0,3,16,0.43,66,51,2,6,2,0,0,0,0,55,48,52,60,15,175,0
23,1,3,12,0.29,71,68,5,9,0,2,0,0,0,39,70,46,75,23,214,0
18,1,2,42,0.11,74,59,4,8,1,1,1,0,1,46,153,111,37,46,347,1
7,1,2,53,0.41,52,98,1,6,0,1,1,0,0,15,66,61,85,15,227,0
20,1,1,41,0.37,76,52,2,5,0,0,0,0,0,48,70,68,73,23,234,1
16,0,2,56,0.29,76,68,2,6,0,2,0,0,0,31,89,55,58,27,229,0
22,1,2,20,0.28,95,75,3,6,0,1,0,0,0,17,58,69,41,13,181,0
4,1,1,51,0.09,61,96,1,4,0,1,0,0,0,52,163,37,91,48,339,1
21,1,1,11,0.35,64,74,2,5,0,0,2,0,0,44,42,83,47,14,186,0
15,0,1,35,0.46,87,99,3,7,0,0,1,1,1,20,60,124,57,25,266,1
5,1,3,13,0.09,69,66,0,5,0,0,1,1,0,15,120,68,54,53,295,1
7,1,3,26,0.17,71,59,2,7,0,1,1,1,1,6,85,109,40,29,263,1
17,0,3,26,0.46,51,95,2,7,1,2,0,0,0,4,55,22,49,6,132,0
11,1,1,37,0.18,53,99,2,7,2,1,0,0,0,43,95,38,88,30,251,1
14,1,3,39,0.34,94,60,1,5,2,1,0,1,0,40,55,78,60,20,213,0
8,0,1,49,0.29,62,60,1,6,1,1,0,0,0,32,69,57,46,23,195,0
12,1,2,32,0.32,81,61,4,9,1,1,1,0,0,30,79,89,48,27,243,1
14,1,3,55,0.24,71,89,1,5,1,0,0,1,1,20,86,77,61,32,256,1
9,1,2,33,0.18,74,97,2,6,1,0,1,0,0,2,91,81,32,32,236,1
15,0,2,38,0.07,76,57,0,3,0,0,1,0,1,9,174,121,47,46,388,1
6,1,1,13,0.38,66,73,1,4,0,0,1,0,0,10,36,86,54,13,189,0
16,1,1,47,0.39,55,63,1,6,0,2,0,0,0,21,61,42,43,5,151,0
22,0,2,38,0.35,92,72,1,4,1,0,0,0,0,16,67,67,51,19,204,0
20,0,2,28,0.34,65,99,0,4,1,0,0,0,0,49,49,48,80,14,191,0
21,1,3,36,0.16,57,85,1,4,0,1,1,1,0,24,102,82,74,41,299,1
6,1,2,38,0.06,82,66,2,5,0,2,1,1,0,40,210,75,52,74,411,1
13,1,2,45,0.41,59,94,0,4,0,2,0,0,0,27,62,52,76,29,219,0
14,1,1,44,0.27,83,54,1,6,1,1,0,0,0,49,86,54,52,33,225,0
20,0,1,15,0.19,68,52,2,5,1,3,1,0,0,19,71,67,46,15,199,0
6,1,3,32,0.1,63,58,2,5,0,0,0,1,1,29,133,82,44,52,311,1
8,0,1,48,0.08,52,69,1,6,0,0,2,0,1,30,171,108,53,48,380,1
18,0,2,55,0.21,90,99,4,7,1,1,0,1,0,12,111,73,54,50,288,1
15,1,1,53,0.41,72,69,2,7,2,1,1,1,0,9,73,85,49,34,241,1
7,1,3,57,0.46,89,68,4,8,1,0,0,0,0,50,84,74,61,24,243,1
17,0,3,17,0.45,60,70,1,5,0,0,0,1,0,55,34,44,76,28,182,0
22,0,2,11,0.46,96,65,2,7,0,0,0,0,0,32,41,81,68,17,207,0
17,1,2,22,0.46,55,82,4,8,0,2,1,1,0,40,62,46,70,27,205,0
19,0,2,49,0.29,83,54,2,6,1,1,0,0,1,19,83,111,28,24,246,1
6,1,2,30,0.15,50,73,5,9,1,2,1,0,0,47,119,67,60,39,285,1
2,1,1,40,0.41,84,64,2,6,0,2,0,0,0,13,66,69,54,19,208,0
17,0,3,57,0.15,74,75,1,5,1,1,1,1,0,59,115,77,78,39,309,1
9,0,1,45,0.17,78,93,1,5,0,1,0,0,0,7,101,64,50,28,243,1
6,1,3,57,0.15,72,74,1,4,2,0,0,0,1,7,116,93,62,36,307,1
16,0,2,47,0.28,67,77,2,5,0,1,0,0,0,37,83,51,74,26,234,1
13,1,1,36,0.19,63,82,1,4,0,3,0,0,0,27,85,43,72,17,217,0
23,1,2,45,0.12,66,95,2,6,1,2,0,1,1,9,122,84,58,44,308,1
2,1,2,57,0.25,51,67,4,7,1,2,0,1,0,56,106,27,92,37,262,1
11,0,2,32,0.44,80,67,2,7,1,0,1,1,0,39,52,62,59,32,205,0
12,1,2,30,0.31,68,87,5,10,2,2,0,0,0,13,79,68,64,24,235,1
1,1,2,22,0.45,81,82,3,8,0,1,0,2,0,50,65,50,76,41,232,1
2,1,2,46,0.14,77,76,4,7,0,0,0,0,0,13,133,46,31,36,246,1
4,1,1,56,0.13,90,98,1,5,2,2,0,0,0,5,123,75,56,40,294,1
10,1,2,35,0.31,57,99,1,6,1,3,0,0,0,33,60,65,80,14,219,0
7,1,2,49,0.26,91,64,2,5,0,1,1,2,0,16,85,96,56,45,282,1
22,1,2,16,0.35,90,93,1,4,1,1,0,0,0,20,47,68,45,8,168,0
22,1,2,55,0.41,89,62,3,7,1,3,1,0,0,38,74,74,52,23,223,0
11,1,2,48,0.39,88,83,2,6,0,1,0,0,0,27,72,76,74,8,230,0
6,1,3,31,0.47,71,53,0,3,0,0,0,0,0,37,51,51,39,29,170,0
14,1,3,48,0.23,73,84,0,4,0,1,1,1,0,14,80,54,58,38,230,0
23,0,2,32,0.14,87,68,0,4,0,0,0,0,0,35,92,57,57,26,232,1
16,1,2,39,0.3,51,80,2,6,2,1,0,0,0,35,68,46,64,26,204,0
3,1,2,27,0.1,90,74,2,6,0,0,0,1,0,8,125,55,38,50,268,1
21,1,3,51,0.18,90,89,1,5,0,0,1,0,0,43,107,91,81,28,307,1
12,0,1,27,0.14,68,61,3,6,1,1,0,0,0,34,109,38,48,30,225,0
17,1,2,55,0.23,90,61,1,6,1,1,2,1,0,58,92,95,62,30,279,1
0,0,3,19,0.1,51,91,2,5,1,0,0,1,0,44,129,43,89,47,308,1
15,1,1,48,0.06,77,74,1,4,0,0,0,0,0,17,214,47,48,61,370,1
12,1,1,39,0.35,81,82,2,5,1,0,0,1,0,53,69,64,83,28,244,1
9,0,2,35,0.32,68,86,2,5,1,0,0,0,0,16,71,30,48,17,166,0
11,1,2,16,0.37,65,77,1,4,0,1,0,0,0,17,38,41,68,12,159,0
1,0,3,16,0.35,79,92,2,6,1,0,1,0,0,3,50,83,49,12,194,0
22,0,3,14,0.1,71,58,0,5,0,0,1,0,0,56,110,90,55,27,282,1
2,1,1,10,0.18,63,63,3,7,1,1,0,0,1,47,71,96,59,23,249,1
9,1,1,55,0.11,50,52,1,6,1,0,1,0,0,19,137,54,39,42,272,1
